,company,inches,ram,weight,price,new_screenreso,new_cpu,new_clockspd,new_gpu,new_OS,isTouchScrn,Memory,HDD,SSD
41,Dell,15.6,16,2.65,79866.72,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,256GB SSD +  1000 HDD,1000,256
42,Asus,15.6,8,2.3,27864.9072,1366x768,Intel Core i5,2.5,Nividia,Linux,0,1000 HDD,1000,0
43,Acer,15.6,4,2.2,36336.96,1920x1080,Intel Core i5,1.6,Intel,Windows,0,256GB SSD,0,256
44,Dell,17.3,12,2.77,53226.72,1920x1080,Intel Core i5,1.6,Nividia,Windows,1,1000 HDD,1000,0
45,Apple,13.3,8,1.37,75604.31999999999,2560x1600,Intel Core i5,2.0,Intel,MAC OS,0,256GB SSD,0,256
46,Lenovo,15.6,4,2.2,19660.32,1366x768,Intel Core i3,2.0,Intel,Other,0,128GB SSD,0,128
47,Asus,17.3,8,3.2,69210.72,1920x1080,AMD Processor,3.0,AMD,Windows,0,256GB SSD +  1000 HDD,1000,256
48,Dell,15.6,4,2.3,34045.92,1920x1080,Intel Core i5,2.5,AMD,Windows,0,256GB SSD,0,256
49,Asus,17.3,4,2.8,24828.48,1366x768,Intel other Processor,1.1,Nividia,Windows,0,1000 HDD,1000,0
50,Lenovo,10.1,4,0.69,16996.32,1920x1200,Intel other Processor,1.44,Intel,Other,1,64GB Flash Storage,0,0
51,Acer,15.6,8,2.2,44808.48,1920x1080,Intel Core i7,1.8,Nividia,Windows,0,256GB SSD,0,256
52,HP,15.6,4,1.86,21231.5472,1920x1080,AMD Processor,2.5,AMD,Windows,0,256GB SSD,0,256
53,HP,13.3,8,1.49,58767.84,1920x1080,Intel Core i7,1.8,Intel,Windows,0,512GB SSD,0,512
54,Acer,15.6,4,2.4,20459.52,1366x768,Intel Core i3,2.4,Intel,Windows,0,1000 HDD,1000,0
55,Dell,15.6,8,2.13,40908.384,1920x1080,Intel Core i7,1.8,AMD,Windows,0,256GB SSD,0,256
56,HP,15.6,4,1.91,23389.92,1920x1080,Intel Core i3,2.0,Intel,Windows,0,128GB SSD,0,128
57,Asus,15.6,4,2.0,31232.203200000004,1366x768,Intel Core i5,2.5,Intel,Windows,0,256GB SSD,0,256
58,MSI,17.3,16,2.43,130482.72,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,256GB SSD +  2000 HDD,2000,256
59,Asus,15.6,4,2.0,22111.2,1920x1080,Intel Core i3,2.0,Intel,Linux,0,256GB SSD,0,256
60,Dell,17.3,16,2.8,69210.72,1920x1080,Intel Core i7,1.8,AMD,Windows,0,256GB SSD +  2000 HDD,2000,256
61,Dell,14.0,8,1.7,46833.12,1920x1080,Intel Core i5,1.6,Intel,Windows,0,256GB SSD,0,256
62,Lenovo,14.0,8,1.7,31914.72,1920x1080,Intel Core i3,2.7,Intel,Other,0,256GB SSD,0,256
63,Asus,14.0,8,1.4,50136.48,1920x1080,Intel Core i5,1.6,Intel,Windows,0,256GB SSD,0,256
64,HP,15.6,8,1.86,36763.2,1920x1080,Intel Core i5,2.5,Intel,Windows,0,256GB SSD,0,256
65,Asus,15.6,16,1.8,105654.24,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,512GB SSD,0,512
66,HP,15.6,4,1.86,23373.4032,1366x768,Intel Core i3,2.0,AMD,Windows,0,500GB HDD,500,0
67,HP,14.0,4,1.44,12201.12,1366x768,Intel other Processor,1.6,Intel,Windows,0,32GB SSD,0,32
68,Lenovo,15.6,4,1.9,29250.72,1920x1080,Intel Core i5,2.5,Intel,Windows,0,1000 HDD,1000,0
69,Asus,17.3,12,3.0,50562.72,1920x1080,Intel Core i7,2.8,Nividia,Linux,0,1000 HDD,1000,0
70,Microsoft,13.5,4,1.252,58021.92,2256x1504,Intel Core i5,2.5,Intel,Windows,1,128GB SSD,0,128
71,Dell,13.3,8,1.4,50882.4,1920x1080,Intel Core i7,1.8,AMD,Windows,0,256GB SSD,0,256
72,Dell,15.6,8,2.2,46353.6,1920x1080,Intel Core i7,1.8,AMD,Windows,0,256GB SSD,0,256
73,MSI,17.3,8,2.7,58341.6,1920x1080,Intel Core i5,2.5,Nividia,Windows,0,128GB SSD +  1000 HDD,1000,128
74,Acer,14.0,8,2.1,20725.92,1366x768,Intel Core i3,2.0,Intel,Windows,0,1000 HDD,1000,0
75,Asus,15.6,8,2.2,50562.72,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,1000 HDD,1000,0
76,Lenovo,15.6,8,2.2,27652.32,1920x1080,Intel Core i5,2.5,Intel,Other,0,2000 HDD,2000,0
77,Dell,15.6,8,2.02,45554.4,1920x1080,Intel Core i7,1.8,Intel,Windows,0,128GB SSD +  1000 HDD,1000,128
78,Acer,15.6,4,2.2,28238.4,1920x1080,Intel Core i3,2.7,Nividia,Windows,0,1000 HDD,1000,0
79,HP,17.3,8,2.5,52054.56,1920x1080,Intel Core i5,1.6,Nividia,Windows,0,128GB SSD +  1000 HDD,1000,128
80,Dell,15.6,8,1.88,58403.4048,1920x1080,Intel Core i5,1.6,Intel,Windows,0,256GB SSD,0,256
81,Apple,12.0,8,0.92,80452.8,2304x1440,Intel Core i5,1.3,Intel,MAC OS,0,512GB SSD,0,512
82,HP,14.0,8,1.63,45820.8,1920x1080,Intel Core i5,1.6,Intel,Windows,0,256GB SSD,0,256
83,Lenovo,15.6,4,2.2,21258.72,1920x1080,AMD Processor,2.5,AMD,Windows,0,128GB SSD,0,128
84,Acer,15.6,4,2.1,21045.6,1366x768,AMD Processor,3.0,AMD,Windows,0,1000 HDD,1000,0
85,Dell,15.6,16,2.65,71874.72,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,128GB SSD +  1000 HDD,1000,128
86,HP,15.6,8,1.83,37242.72,1920x1080,Intel Core i7,1.8,Nividia,Windows,0,256GB SSD,0,256
87,HP,15.6,8,1.96,31914.1872,1920x1080,Intel Core i5,2.5,Intel,Windows,0,256GB SSD,0,256
88,Asus,15.6,16,2.2,77202.72,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,128GB SSD +  1000 HDD,1000,128
89,Dell,13.3,8,1.21,87858.72,1920x1080,Intel Core i7,1.8,Intel,Windows,0,256GB SSD,0,256
90,Asus,15.6,8,2.45,37242.72,1920x1080,AMD Processor,3.0,AMD,Windows,0,1000 HDD,1000,0
91,Acer,15.6,8,2.2,36709.92,1920x1080,Intel Core i7,1.8,Nividia,Windows,0,1000 HDD,1000,0
92,HP,13.3,16,1.49,63776.16,1920x1080,Intel Core i7,1.8,Intel,Windows,0,512GB SSD,0,512
93,Dell,15.6,8,2.65,63669.6,1920x1080,Intel Core i5,2.5,Nividia,Windows,0,256GB SSD,0,256
94,Asus,14.0,8,1.25,55890.72,1920x1080,Intel Core i7,2.7,Intel,Windows,0,256GB SSD,0,256
95,Acer,13.3,8,1.5,45128.16,1920x1080,Intel Core i5,1.6,Intel,Windows,1,256GB SSD,0,256
96,Dell,15.6,8,2.2,31962.672000000002,1920x1080,Intel Core i7,2.7,AMD,Linux,0,1000 HDD,1000,0
97,Dell,15.6,4,2.2,25840.8,1920x1080,Intel Core i3,2.0,AMD,Linux,0,256GB SSD,0,256
98,Asus,15.6,6,2.0,30742.56,1920x1080,Intel Core i3,2.4,Nividia,Windows,0,256GB SSD,0,256
99,HP,15.6,12,2.62,66546.72,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,128GB SSD +  1000 HDD,1000,128
100,HP,15.6,8,1.91,38308.32,1920x1080,Intel Core i7,2.7,AMD,Windows,0,256GB SSD,0,256
101,HP,15.6,4,2.1,18594.72,1920x1080,AMD Processor,1.5,AMD,Windows,0,500GB HDD,500,0
102,Dell,15.6,8,2.2,34472.16,1920x1080,Intel Core i5,1.6,AMD,Linux,0,1000 HDD,1000,0
103,HP,13.3,8,1.38,59620.32,1920x1080,Intel Core i7,2.7,Nividia,Windows,0,256GB SSD,0,256
104,Microsoft,13.5,8,1.252,71395.2,2256x1504,Intel Core i5,2.5,Intel,Windows,1,256GB SSD,0,256
105,HP,14.0,6,1.58,35111.52,1920x1080,Intel Core i5,2.5,Nividia,Windows,0,256GB SSD,0,256
106,Lenovo,15.6,4,1.85,22105.872000000003,1920x1080,Intel Core i3,2.0,Intel,Windows,0,1000 HDD,1000,0
107,Asus,14.0,8,1.3,63563.04,1920x1080,Intel Core i7,2.7,Nividia,Windows,0,256GB SSD,0,256
108,MSI,15.6,16,2.2,69210.72,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,256GB SSD +  1000 HDD,1000,256
109,Lenovo,14.0,8,1.58,78854.4,1920x1080,Intel Core i7,2.7,Intel,Windows,0,256GB SSD,0,256
110,Asus,15.6,16,1.5,67239.36,1920x1080,Intel Core i7,1.8,Nividia,Windows,0,256GB SSD +  1000 HDD,1000,256
111,Dell,13.3,8,1.23,73473.12,3200x1800,Intel Core i7,2.4,Intel,Windows,1,256GB SSD,0,256
112,Lenovo,13.3,8,1.37,74538.72,1920x1080,Intel Core i5,2.5,Intel,Windows,1,256GB SSD,0,256
113,HP,14.0,4,1.63,38468.16,1366x768,Intel Core i5,1.6,Intel,Windows,0,500GB HDD,500,0
114,Dell,13.3,8,1.21,86793.12,1920x1080,Intel Core i5,1.6,Intel,Windows,0,256GB SSD,0,256
115,HP,13.3,8,1.26,74538.1872,1920x1080,Intel Core i5,1.6,Intel,Windows,1,256GB SSD,0,256
116,HP,14.0,8,1.63,57755.52,1920x1080,Intel Core i7,1.8,Intel,Windows,0,512GB SSD,0,512
117,Dell,15.6,8,2.16,60223.98239999999,1920x1080,Intel Core i7,1.8,Nividia,Windows,0,256GB SSD +  1000 HDD,1000,256
118,Asus,17.3,4,2.0,30049.92,1920x1080,Intel Core i3,2.0,Nividia,Windows,0,1000 HDD,1000,0
119,Asus,15.6,8,1.7,59567.04,1920x1080,Intel Core i7,1.8,Nividia,Windows,0,256GB SSD,0,256
120,Acer,15.6,6,2.1,25521.12,1920x1080,Intel Core i3,2.4,Intel,Windows,1,1000 HDD,1000,0
121,MSI,15.6,16,1.8,119427.12,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,256GB SSD +  2000 HDD,2000,256
122,Lenovo,15.6,8,2.2,33513.119999999995,1920x1080,Intel Core i5,2.5,Nividia,Other,0,256GB SSD,0,256
123,HP,17.3,16,2.5,67718.88,1920x1080,Intel Core i7,1.8,Nividia,Windows,0,512GB SSD,0,512
124,Acer,15.6,4,2.1,24029.28,1366x768,AMD Processor,3.0,AMD,Windows,0,256GB SSD,0,256
125,HP,15.6,4,1.86,13799.52,1366x768,Intel other Processor,1.6,Intel,Other,0,500GB HDD,500,0
126,HP,14.0,8,1.63,43263.36,1920x1080,Intel Core i5,1.6,Intel,Windows,0,1000 HDD,1000,0
127,Asus,14.0,4,1.65,14811.3072,1366x768,AMD Processor,1.5,AMD,Windows,0,64GB SSD,0,64
128,Dell,17.3,16,2.8,74378.87999999999,1920x1080,Intel Core i7,1.8,AMD,Windows,0,256GB SSD +  2000 HDD,2000,256
129,HP,17.3,8,2.5,49443.84,1920x1080,Intel Core i5,1.6,Intel,Windows,0,256GB SSD,0,256
130,Dell,15.6,8,2.36,34045.3872,1366x768,Intel Core i5,2.5,AMD,Windows,0,1000 HDD,1000,0
131,Dell,15.6,4,2.2,23922.72,1920x1080,Intel Core i3,2.0,AMD,Windows,0,1000 HDD,1000,0
132,Acer,14.0,8,1.6,47099.52,1920x1080,Intel Core i7,1.8,Intel,Windows,0,256GB SSD,0,256
133,Acer,15.6,4,2.2,30476.16,1920x1080,Intel Core i3,2.7,Nividia,Windows,0,256GB SSD,0,256
134,HP,15.6,8,2.05,31861.44,1366x768,Intel Core i7,2.7,Intel,Windows,0,1000 HDD,1000,0
135,HP,14.0,8,1.63,52640.64,1920x1080,Intel Core i7,1.8,Intel,Windows,0,256GB SSD,0,256
136,Lenovo,15.6,4,1.9,13445.7408,1366x768,Intel other Processor,1.1,Intel,Other,0,1000 HDD,1000,0
137,Asus,17.3,8,3.0,49976.64,1920x1080,Intel Core i5,2.5,Nividia,Windows,0,128GB SSD +  1000 HDD,1000,128
138,Lenovo,15.6,4,2.2,26586.72,1920x1080,Intel Core i5,2.5,Nividia,Other,0,1000 HDD,1000,0
139,HP,13.3,4,1.32,37242.72,1920x1080,Intel Core i5,2.5,Intel,Windows,0,256GB SSD,0,256
140,Acer,17.3,4,3.0,34898.4,1920x1080,Intel Core i3,2.7,Nividia,Windows,0,1000 HDD,1000,0
141,Lenovo,14.0,8,1.75,59461.5456,1920x1080,Intel Core i5,1.6,AMD,Windows,0,256GB SSD,0,256
142,Lenovo,15.6,8,2.4,46300.32,1920x1080,Intel Core i7,2.8,Nividia,Other,0,256GB SSD,0,256
143,Toshiba,15.6,4,2.1,32074.56,1366x768,Intel Core i5,2.3,Intel,Windows,0,500GB HDD,500,0
144,HP,15.6,4,1.86,19660.32,1366x768,AMD Processor,2.5,AMD,Windows,0,256GB SSD,0,256
145,Asus,14.0,8,1.25,58554.72,1920x1080,Intel Core i7,1.8,Intel,Windows,0,256GB SSD,0,256
146,HP,12.5,8,0.97,107305.92,3840x2160,Intel other Processor,1.2,Intel,Windows,1,512GB SSD,0,512
147,Asus,15.6,4,2.0,18328.32,1920x1080,Intel other Processor,1.1,Intel,Windows,0,1000 HDD,1000,0
148,MSI,17.3,16,2.9,108105.12,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,256GB SSD +  1000 HDD,1000,256
149,Acer,15.6,4,2.1,23816.16,1366x768,Intel Core i3,2.0,Intel,Windows,0,1000 HDD,1000,0
150,Dell,15.6,16,2.56,66560.5728,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,512GB SSD,0,512
151,Dell,15.6,8,2.62,47898.72,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,1.0000 Hybrid,0,0
152,Lenovo,15.6,4,1.9,26533.44,1366x768,Intel Core i5,2.5,Intel,Windows,0,128GB SSD,0,128
153,MSI,17.3,16,2.8,100699.2,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,256GB SSD +  1000 HDD,1000,256
154,HP,14.0,4,1.48,57648.96,1920x1080,Intel Core i5,2.7,Intel,Windows,0,256GB SSD,0,256
155,HP,15.6,6,1.91,32980.32,1920x1080,Intel Core i5,1.6,AMD,Windows,0,256GB SSD,0,256
156,Lenovo,14.0,4,1.74,33513.119999999995,1920x1080,Intel Core i3,2.4,Intel,Windows,1,256GB SSD,0,256
157,Asus,13.3,8,1.1,70063.2,1920x1080,Intel Core i5,1.6,Intel,Windows,1,256GB SSD,0,256
158,Dell,15.6,8,1.56,55890.72,1920x1080,Intel Core i7,1.8,Intel,Windows,1,256GB SSD,0,256
159,Toshiba,15.6,4,2.1,23816.16,1366x768,Intel Core i3,2.2,Intel,Windows,0,500GB HDD,500,0
160,Asus,15.6,4,2.03,21471.84,1366x768,AMD Processor,3.0,AMD,Windows,0,1000 HDD,1000,0
161,Acer,17.3,4,3.0,42890.4,1920x1080,Intel Core i5,1.6,Nividia,Windows,0,256GB SSD,0,256
162,Dell,15.6,8,2.13,38787.84,1920x1080,Intel Core i5,1.6,AMD,Windows,0,256GB SSD,0,256
163,Lenovo,15.6,16,2.5,57489.12,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,256GB SSD,0,256
164,Acer,15.6,4,2.1,18541.44,1366x768,Intel other Processor,1.1,Intel,Windows,0,1000 HDD,1000,0
165,MSI,15.6,16,2.4,95850.72,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,256GB SSD +  1000 HDD,1000,256
166,Acer,15.6,4,2.1,19367.8128,1366x768,Intel other Processor,1.1,Intel,Windows,0,1000 HDD,1000,0
167,Dell,15.6,8,2.56,56502.9072,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,128GB SSD +  1000 HDD,1000,128
168,Acer,17.3,8,3.0,45501.12,1920x1080,Intel Core i5,1.6,Nividia,Windows,0,256GB SSD,0,256
169,HP,13.3,4,1.49,40173.12,1920x1080,Intel Core i5,1.6,Intel,Windows,0,500GB HDD,500,0
170,Huawei,13.0,8,1.05,71874.72,2160x1440,Intel Core i5,2.5,Intel,Windows,0,256GB SSD,0,256
171,HP,17.3,6,2.71,37242.72,1920x1080,Intel Core i5,2.5,AMD,Windows,0,2000 HDD,2000,0
172,Lenovo,15.6,4,2.2,16463.52,1366x768,AMD Processor,2.9,AMD,Other,0,500GB HDD,500,0
173,Toshiba,15.6,4,2.0,26053.92,1366x768,Intel Core i3,2.4,Intel,Windows,0,500GB HDD,500,0
174,HP,17.3,8,2.5,49177.44,1920x1080,Intel Core i5,1.6,Nividia,Windows,0,256GB SSD,0,256
175,Dell,15.6,8,2.3,24455.52,1366x768,Intel Core i3,2.4,Intel,Windows,0,1000 HDD,1000,0
176,Acer,15.6,4,2.1,23922.72,1366x768,Intel Core i3,2.0,Intel,Windows,0,128GB SSD,0,128
177,MSI,18.4,32,4.4,149130.72,1920x1080,Intel Core i7,2.9,Nividia,Windows,0,512GB SSD +  1000 HDD,1000,512
178,Lenovo,15.6,8,1.9,43316.64,1920x1080,Intel Core i5,2.5,AMD,Windows,0,128GB SSD +  1000 HDD,1000,128
179,HP,13.3,8,1.29,79866.72,3840x2160,Intel Core i5,1.6,Intel,Windows,1,256GB SSD,0,256
180,Dell,15.6,16,2.02,55890.72,1920x1080,Intel Core i7,1.8,AMD,Linux,0,256GB SSD +  2000 HDD,2000,256
181,Dell,13.3,8,1.23,74538.72,1920x1080,Intel Core i5,1.6,Intel,Windows,0,256GB SSD,0,256
182,Lenovo,13.9,16,1.4,98514.72,3840x2160,Intel Core i7,1.8,Intel,Windows,1,512GB SSD,0,512
183,Toshiba,15.6,8,2.0,42251.04,1366x768,Intel Core i5,2.5,Intel,Windows,0,128GB SSD,0,128
184,Xiaomi,15.6,8,1.95,63882.72,1920x1080,Intel Core i5,1.6,Nividia,Other,0,256GB SSD,0,256
185,Dell,17.3,16,2.77,82530.72,1920x1080,Intel Core i7,1.8,Nividia,Windows,1,512GB SSD,0,512
186,Dell,15.6,16,2.06,127712.16,3840x2160,Intel Core i7,2.8,Nividia,Windows,1,512GB SSD,0,512
187,Lenovo,15.6,8,2.4,41505.12,1920x1080,Intel Core i5,2.5,Nividia,Other,0,256GB SSD,0,256
188,Acer,13.3,8,1.12,52693.92,1920x1080,Intel Core i5,1.2,Intel,Windows,0,256GB SSD,0,256
189,Dell,17.3,8,2.8,57808.8,1920x1080,Intel Core i7,1.8,AMD,Windows,0,128GB SSD +  1000 HDD,1000,128
190,Lenovo,14.0,16,1.42,150462.72,2560x1440,Intel Core i7,2.7,Intel,Windows,1,1000 SSD,0,1000
191,Vero,14.0,4,1.3,13852.8,1920x1080,Intel other Processor,1.1,Intel,Windows,0,32GB Flash Storage,0,0
192,Xiaomi,13.3,8,1.3,53274.67199999999,1920x1080,Intel Core i5,2.5,Nividia,Other,0,256GB SSD,0,256
193,Lenovo,17.3,8,2.8,37189.44,1600x900,Intel Core i5,1.6,Nividia,Other,0,256GB SSD,0,256
194,Dell,13.3,8,1.62,44701.92,1920x1080,Intel Core i7,1.8,Intel,Windows,1,1000 HDD,1000,0
195,HP,17.3,8,2.5,48697.92,1920x1080,Intel Core i5,1.6,Nividia,Windows,0,1000 HDD,1000,0
196,Razer,17.3,32,3.49,324954.72,3840x2160,Intel Core i7,2.9,Nividia,Windows,1,1000 SSD,0,1000
197,HP,13.3,8,1.49,51095.52,1920x1080,Intel Core i5,1.6,Intel,Windows,0,512GB SSD,0,512
198,HP,17.3,16,3.35,73473.12,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,256GB SSD +  1000 HDD,1000,256
199,HP,17.3,8,2.5,55677.6,1920x1080,Intel Core i7,1.8,Nividia,Windows,0,256GB SSD,0,256
200,Dell,15.6,16,2.65,98301.6,3840x2160,Intel Core i7,2.8,Nividia,Windows,0,512GB SSD +  1000 HDD,1000,512
201,Lenovo,15.6,4,2.1,26267.04,1366x768,Intel Core i5,2.3,Intel,Windows,0,128GB SSD,0,128
202,Acer,15.6,8,2.23,39533.76,1920x1080,Intel Core i7,2.7,Nividia,Windows,0,1000 HDD,1000,0
203,Lenovo,15.6,16,3.2,93186.72,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,512GB SSD +  1000 HDD,1000,512
204,Dell,15.6,16,2.8,162770.4,3840x2160,Intel other Processor,3.0,Nividia,Windows,0,256GB SSD +  1000 HDD,1000,256
205,Lenovo,15.6,16,2.4,74485.44,1920x1080,Intel Core i7,2.8,Nividia,Other,0,512GB SSD,0,512
206,Dell,15.6,6,2.3,23389.92,1366x768,Intel Core i3,2.4,Intel,Windows,1,1000 HDD,1000,0
207,Dell,13.3,8,1.21,103842.72,3840x2160,Intel Core i7,1.8,Intel,Windows,1,256GB SSD,0,256
208,Dell,13.3,8,1.2,77202.72,1920x1080,Intel Core i7,1.8,Intel,Windows,0,256GB SSD,0,256
209,Lenovo,15.6,8,2.2,31808.16,1366x768,Intel Core i5,2.5,Intel,Windows,0,256GB SSD,0,256
210,Acer,15.6,8,2.4,41505.12,1920x1080,Intel Core i7,2.8,Nividia,Linux,0,1000 HDD,1000,0
211,Asus,17.3,16,2.9,74964.95999999999,1920x1080,Intel Core i7,2.8,Nividia,Windows,0,256GB SSD +  1000 HDD,1000,256
212,HP,15.6,4,2.1,18594.72,1920x1080,Intel Core i3,2.0,Intel,Other,0,500GB HDD,500,0
213,Lenovo,15.6,8,2.2,29250.72,1920x1080,Intel Core i5,2.5,Intel,Other,0,256GB SSD,0,256
214,Huawei,13.0,8,1.05,79866.72,2160x1440,Intel Core i7,2.7,Intel,Windows,0,512GB SSD,0,512
215,Dell,13.3,8,1.4,49650.5664,1920x1080,Intel Core i7,1.8,AMD,Windows,0,256GB SSD,0,256
216,Lenovo,17.3,8,2.8,31381.92,1600x900,Intel Core i5,2.5,Nividia,Other,0,1000 HDD,1000,0
217,HP,14.0,8,1.63,54931.68,1920x1080,Intel Core i7,1.8,Nividia,Windows,0,256GB SSD,0,256
218,Dell,14.0,8,1.6,61218.72,1920x1080,Intel Core i5,1.6,Intel,Windows,0,256GB SSD,0,256
219,Dell,13.3,16,1.62,68145.12,1920x1080,Intel Core i7,1.8,Intel,Windows,1,512GB SSD,0,512
220,Dell,15.6,8,2.2,36089.208,1920x1080,Intel Core i5,1.6,AMD,Linux,0,256GB SSD,0,256
221,Lenovo,14.0,8,1.74,47898.72,1920x1080,Intel Core i5,1.6,Intel,Windows,0,256GB SSD,0,256
